Type Designator,Manufacturer,Model,Description,Engine Type,Engine Count,WTC,Class,Engine Number-Type,FAA Weight Class,ICAO WTC,CWT,SRS,LAHSO
P3,LOCKHEED,Arcturus,LandPlane,Turboprop/Turboshaft,4,M,Fixed-wing,4T,L,Medium,F,III,
T33,LOCKHEED,AT-33,LandPlane,Jet,1,M,Fixed-wing,1J,L,Medium,H,III,
P3,LOCKHEED,Aurora,LandPlane,Turboprop/Turboshaft,4,M,Fixed-wing,4T,L,Medium,F,III,
C130,LOCKHEED,Aya,LandPlane,Turboprop/Turboshaft,4,M,Fixed-wing,4T,L,Medium,F,III,
L37,LOCKHEED,B-34 Lexington,LandPlane,Piston,2,M,Fixed-wing,2P,S+,Medium,H,III,
L12,LOCKHEED,C-40 Electra Junior,LandPlane,Piston,2,L,Fixed-wing,2P,S,Light,I,II,
L18,LOCKHEED,C-56 Lodestar,LandPlane,Piston,2,M,Fixed-wing,2P,L,Medium,G,III,8
L18,LOCKHEED,C-57 Lodestar,LandPlane,Piston,2,M,Fixed-wing,2P,L,Medium,G,III,8
L18,LOCKHEED,C-59 Lodestar,LandPlane,Piston,2,M,Fixed-wing,2P,L,Medium,G,III,8
L18,LOCKHEED,C-60 Lodestar,LandPlane,Piston,2,M,Fixed-wing,2P,L,Medium,G,III,8
CONI,LOCKHEED,C-121 Constellation,LandPlane,Piston,4,M,Fixed-wing,4P,L,Medium,F,III,9
C130,LOCKHEED,C-130 Karnaf,LandPlane,Turboprop/Turboshaft,4,M,Fixed-wing,4T,L,Medium,F,III,
C130,LOCKHEED,C-130A Hercules,LandPlane,Turboprop/Turboshaft,4,M,Fixed-wing,4T,L,Medium,F,III,
C130,LOCKHEED,C-130B Hercules,LandPlane,Turboprop/Turboshaft,4,M,Fixed-wing,4T,L,Medium,F,III,
C130,LOCKHEED,C-130E Hercules,LandPlane,Turboprop/Turboshaft,4,M,Fixed-wing,4T,L,Medium,F,III,
C130,LOCKHEED,C-130F Hercules,LandPlane,Turboprop/Turboshaft,4,M,Fixed-wing,4T,L,Medium,F,III,
C130,LOCKHEED,C-130H Hercules,LandPlane,Turboprop/Turboshaft,4,M,Fixed-wing,4T,L,Medium,F,III,
C130,LOCKHEED,C-130K Hercules,LandPlane,Turboprop/Turboshaft,4,M,Fixed-wing,4T,L,Medium,F,III,
C130,LOCKHEED,CC-130 Hercules,LandPlane,Turboprop/Turboshaft,4,M,Fixed-wing,4T,L,Medium,F,III,
CONI,LOCKHEED,Constellation,LandPlane,Piston,4,M,Fixed-wing,4P,L,Medium,F,III,9
